controller,prototype,success_rate,avg_total_steps,median_total_steps,avg_max_polynomial_fail_streak,avg_remediation_entries,avg_integer_gain,avg_polynomial_gain
AB1,A,1.0,7.88,7.0,2.63,0.0,0.0,0.4166139637580635
AB1,B,1.0,10.19,9.0,4.44,0.0,0.0,0.4349810004907104
AB1,C,1.0,9.52,9.0,3.65,0.0,0.0,0.42981733641249215
AB2,A,1.0,9.19,9.0,1.63,0.87,0.16140290626197967,0.41069726670711754
AB2,B,1.0,14.5,15.0,1.92,1.98,0.26675833744957467,0.4414633325004897
AB2,C,1.0,11.11,11.0,1.85,1.28,0.21963688016267122,0.42824203381567044
AB3,A,1.0,10.39,9.0,1.69,0.98,0.18228780145605308,0.4262436241449521
AB3,B,1.0,15.35,15.0,1.91,1.27,0.32920786838447874,0.45334760932167
AB3,C,1.0,12.25,12.0,1.83,1.14,0.27480082608020395,0.4368333613390765
