controller,prototype,old_success_rate,old_avg_total_steps,old_median_total_steps,old_avg_max_polynomial_fail_streak,old_avg_remediation_entries,old_avg_integer_gain,old_avg_polynomial_gain,new_success_rate,new_avg_total_steps,new_median_total_steps,new_avg_max_polynomial_fail_streak,new_avg_remediation_entries,new_avg_integer_gain,new_avg_polynomial_gain,delta_success_rate,delta_avg_total_steps,delta_avg_max_polynomial_fail_streak,delta_avg_remediation_entries,delta_avg_integer_gain,delta_avg_polynomial_gain
AB3,A,1.0,9.44,10.0,1.78,1.04,0.2014830477409267,0.4074865061446949,1.0,10.39,9.0,1.69,0.98,0.182287801456053,0.4262436241449521,0.0,0.9500000000000011,-0.09000000000000008,-0.06000000000000005,-0.019195246284873707,0.0187571180002572
AB3,B,1.0,16.21,17.0,1.94,1.22,0.5126502404261042,0.4154507948585247,1.0,15.35,15.0,1.91,1.27,0.3292078683844787,0.45334760932167,0.0,-0.8600000000000012,-0.030000000000000027,0.050000000000000044,-0.1834423720416255,0.0378968144631453
AB3,C,1.0,11.39,12.0,1.8,1.13,0.2755573872152329,0.4092210968720311,1.0,12.25,12.0,1.83,1.14,0.2748008260802039,0.4368333613390765,0.0,0.8599999999999994,0.030000000000000027,0.010000000000000009,-0.0007565611350289769,0.0276122644670454
