strategy,success_rate,avg_steps,avg_final_polynomial_mastery,avg_reached_mastery_step,avg_remediation_count,avg_unnecessary_remediations,avg_target_gain,avg_total_subskill_gain
AB1_Baseline,0.36,44.4033,0.7504,34.4537,0.0,0.0,0.2601,1.7888
AB2_RuleBased,0.1967,45.6033,0.7224,27.6441,8.4467,3.3833,0.2302,1.6166
AB3_PPO_Dynamic,0.67,36.0967,0.7553,29.2488,6.4867,0.3633,0.2642,1.4866
