max_steps,strategy,success_rate,avg_steps,avg_final_mastery,avg_unnecessary_remediation
30,AB1_Baseline,0.1233,29.1367,0.6784,0.0
30,AB2_RuleBased,0.1333,28.69,0.6813,1.91
30,AB3_PPO_Dynamic,0.38,26.6433,0.6945,0.1767
40,AB1_Baseline,0.2133,37.5033,0.7172,0.0
40,AB2_RuleBased,0.1233,38.0733,0.7022,2.74
40,AB3_PPO_Dynamic,0.5933,31.7533,0.7344,0.3
50,AB1_Baseline,0.36,44.4033,0.7504,0.0
50,AB2_RuleBased,0.1967,45.6033,0.7224,3.3833
50,AB3_PPO_Dynamic,0.67,36.0967,0.7553,0.3633
