prototype,ab2_success_rate,ab2_avg_total_steps,ab2_avg_max_polynomial_fail_streak,ab2_avg_polynomial_gain,ab3_success_rate,ab3_avg_total_steps,ab3_avg_max_polynomial_fail_streak,ab3_avg_polynomial_gain,ab3_minus_ab2_success_rate,ab3_minus_ab2_avg_total_steps,ab3_minus_ab2_avg_max_polynomial_fail_streak,ab3_minus_ab2_avg_polynomial_gain
A,1.0,9.46,1.64,0.4133957362064105,1.0,9.35,1.72,0.4253276108677683,0.0,-0.11000000000000121,0.08000000000000007,0.01193187466135781
B,0.99,15.09,1.94,0.4402944317646086,0.99,15.14,1.91,0.4430878118050789,0.0,0.05000000000000071,-0.030000000000000027,0.0027933800404703057
C,1.0,11.3,1.8,0.4198958684745163,1.0,12.23,1.81,0.4464109646509592,0.0,0.9299999999999997,0.010000000000000009,0.026515096176442876
