controller,prototype,success_rate,avg_total_steps,median_total_steps,avg_max_polynomial_fail_streak,avg_remediation_entries,avg_integer_gain,avg_polynomial_gain
AB1,A,1.0,7.88,7.0,2.63,0.0,0.0,0.4166139637580635
AB1,B,1.0,10.19,9.0,4.44,0.0,0.0,0.4349810004907104
AB1,C,1.0,9.52,9.0,3.65,0.0,0.0,0.42981733641249215
AB2,A,1.0,9.46,9.0,1.64,0.91,0.1650662609070096,0.41339573620641057
AB2,B,0.99,15.09,15.0,1.94,2.11,0.27935481154234965,0.44029443176460864
AB2,C,1.0,11.3,11.5,1.8,1.33,0.22127580345800277,0.4198958684745163
AB3,A,1.0,9.35,9.0,1.72,0.91,0.14621685725953373,0.4253276108677683
AB3,B,0.99,15.14,14.0,1.91,1.29,0.3177744125923839,0.44308781180507895
AB3,C,1.0,12.23,12.0,1.81,1.13,0.251605619832558,0.4464109646509592
