controller,prototype,success_rate,avg_total_steps,median_total_steps,avg_max_polynomial_fail_streak,avg_remediation_entries,avg_int_sign_gain,avg_int_mul_div_gain,avg_polynomial_gain,avg_poly_sign_distribution_gain,avg_poly_expand_binomial_gain
AB1,A,0.99,14.71,15.0,3.86,0.0,0.0,0.0,0.36614368635160166,0.2402689925768696,0.26151842997406094
AB1,B,0.93,19.82,19.0,6.94,0.0,0.0,0.0,0.41337957891765215,0.2564087169433,0.27926129617674894
AB1,C,0.99,17.1,16.0,4.87,0.0,0.0,0.0,0.3885604104458441,0.2704567481092741,0.2659893686073037
AB2,A,0.97,18.68,18.5,1.91,1.97,0.20005803588841414,0.1274930953304015,0.364660450516279,0.29318597007926106,0.2410820717797704
AB2,B,0.56,25.61,28.5,2.0,3.75,0.2801026542650296,0.1682304,0.3457654100646906,0.26869003893660875,0.25173239198534175
AB2,C,0.82,22.11,22.0,1.93,2.76,0.25723972168017756,0.17694514122004473,0.35550066196629215,0.2926756161582031,0.27443502408458736
AB3,A,0.99,18.59,18.0,1.9,1.91,0.18107193957593343,0.10331218152876366,0.39324826875072266,0.2835913811950476,0.29675489781926023
AB3,B,0.58,26.44,29.0,2.0,2.47,0.34302995664227004,0.2009365479590519,0.3503438602278027,0.2929905378753089,0.2629386334825458
AB3,C,0.91,21.63,21.0,1.99,2.16,0.30284825445695285,0.1344214054501391,0.37727946668156354,0.29377546668675675,0.2785872119031915
