prototype,ab2_success_rate,ab2_avg_total_steps,ab2_avg_max_polynomial_fail_streak,ab2_avg_remediation_entries,ab2_avg_polynomial_gain,ab3_success_rate,ab3_avg_total_steps,ab3_avg_max_polynomial_fail_streak,ab3_avg_remediation_entries,ab3_avg_polynomial_gain,ab3_minus_ab2_success_rate,ab3_minus_ab2_avg_total_steps,ab3_minus_ab2_avg_max_polynomial_fail_streak,ab3_minus_ab2_avg_remediation_entries,ab3_minus_ab2_avg_polynomial_gain
A,0.97,18.68,1.91,1.97,0.364660450516279,0.99,18.59,1.9,1.91,0.3932482687507226,0.020000000000000018,-0.08999999999999986,-0.010000000000000009,-0.06000000000000005,0.028587818234443618
B,0.56,25.61,2.0,3.75,0.3457654100646906,0.46,26.67,1.99,2.38,0.3330279962430735,-0.10000000000000003,1.0600000000000023,-0.010000000000000009,-1.37,-0.012737413821617083
C,0.82,22.11,1.93,2.76,0.3555006619662921,0.9,21.81,1.98,2.15,0.3771278668289741,0.08000000000000007,-0.3000000000000007,0.050000000000000044,-0.6099999999999999,0.021627204862681992
