id,skill_id,prerequisite_id
1516,jh_geo_triangle_incenter_def_property,jh_geo_triangle_circumcenter_def_property
1517,jh_geo_triangle_incenter_def_property,jh_algebra_proof_odd_even
1518,jh_geo_triangle_incenter_area,jh_geo_triangle_incenter_def_property
1519,jh_geo_triangle_incenter_area,jh_geo_triangle_circumcenter_location
1520,jh_geo_triangle_incenter_area,jh_geo_triangle_circumcenter_def_property
1521,jh_geo_triangle_centroid_def_property,jh_geo_triangle_incenter_area
1522,jh_geo_triangle_centroid_def_property,jh_geo_triangle_incenter_def_property
1523,jh_geo_triangle_centroid_def_property,jh_geo_triangle_circumcenter_location
1524,jh_quad_func_def,jh_geo_triangle_centroid_def_property
1525,jh_quad_func_graph_ax2,jh_quad_func_def
1526,jh_quad_func_graph_ax2_k,jh_quad_func_graph_ax2
1527,jh_quad_func_graph_ax2_k,jh_quad_func_def
1528,jh_quad_func_graph_a_x_h_2,jh_quad_func_graph_ax2_k
1529,jh_quad_func_graph_a_x_h_2,jh_quad_func_graph_ax2
1530,jh_quad_func_graph_a_x_h_2,jh_quad_func_def
1531,jh_quad_func_graph_a_x_h_2_k,jh_quad_func_graph_a_x_h_2
1532,jh_quad_func_graph_a_x_h_2_k,jh_quad_func_graph_ax2_k
1533,jh_quad_func_graph_a_x_h_2_k,jh_quad_func_graph_ax2
1534,jh_quad_func_complete_square_simple,jh_quad_func_graph_a_x_h_2_k
1535,jh_quad_func_complete_square_simple,jh_quad_func_graph_a_x_h_2
1536,jh_quad_func_complete_square_simple,jh_quad_func_graph_ax2_k
1537,jh_quad_func_complete_square_general,jh_quad_func_complete_square_simple
1538,jh_quad_func_complete_square_general,jh_quad_func_graph_a_x_h_2_k
1539,jh_quad_func_complete_square_general,jh_quad_func_graph_a_x_h_2
1540,jh_quad_func_max_min_vertex,jh_quad_func_complete_square_general
1541,jh_quad_func_max_min_vertex,jh_quad_func_complete_square_simple
1542,jh_quad_func_max_min_vertex,jh_quad_func_graph_a_x_h_2_k
1543,jh_quad_func_axis_intercepts,jh_quad_func_max_min_vertex
1544,jh_quad_func_axis_intercepts,jh_quad_func_complete_square_general
1545,jh_quad_func_axis_intercepts,jh_quad_func_complete_square_simple
1546,jh_quad_func_discriminant_intercepts,jh_quad_func_axis_intercepts
1547,jh_quad_func_discriminant_intercepts,jh_quad_func_max_min_vertex
1548,jh_quad_func_discriminant_intercepts,jh_quad_func_complete_square_general
1549,jh_quad_func_word_problem,jh_quad_func_discriminant_intercepts
1550,jh_quad_func_word_problem,jh_quad_func_axis_intercepts
1551,jh_quad_func_word_problem,jh_quad_func_max_min_vertex
1552,jh_stats_box_plot_draw,jh_stats_cumulative_relative_freq
1553,jh_stats_box_plot_draw,jh_stats_relative_freq
1554,jh_stats_box_plot_draw,jh_stats_freq_polygon_plot
1555,jh_stats_box_plot_read,jh_stats_box_plot_draw
1556,jh_stats_box_plot_read,jh_stats_cumulative_relative_freq
1557,jh_stats_box_plot_read,jh_stats_relative_freq
1558,jh_prob_def_classical,contingency_table_prob
1559,jh_prob_def_classical,prob_bayes_theorem
1560,jh_prob_def_classical,prob_independent_events
1561,jh_prob_list_outcomes_simple,jh_prob_def_classical
1562,jh_prob_list_outcomes_simple,contingency_table_prob
1563,jh_prob_list_outcomes_simple,prob_bayes_theorem
1564,jh_prob_list_outcomes_tree_diagram,jh_prob_list_outcomes_simple
1565,jh_prob_list_outcomes_tree_diagram,jh_prob_def_classical
1566,jh_prob_list_outcomes_tree_diagram,contingency_table_prob
1567,jh_prob_list_outcomes_table,jh_prob_list_outcomes_tree_diagram
1568,jh_prob_list_outcomes_table,jh_prob_list_outcomes_simple
1569,jh_prob_list_outcomes_table,jh_prob_def_classical
1570,jh_prob_event_complementary,jh_prob_list_outcomes_table
1571,jh_prob_event_complementary,jh_prob_list_outcomes_tree_diagram
1572,jh_prob_event_complementary,jh_prob_list_outcomes_simple
1573,jh_geo_3d_plane_def,jh_prob_event_complementary
1574,jh_geo_3d_line_plane_relations_simple,jh_geo_3d_plane_def
1575,jh_geo_3d_plane_relations_simple,jh_geo_3d_line_plane_relations_simple
1576,jh_geo_3d_plane_relations_simple,jh_geo_3d_plane_def
1577,jh_geo_3d_skew_lines_def,jh_geo_3d_plane_relations_simple
1578,jh_geo_3d_skew_lines_def,jh_geo_3d_line_plane_relations_simple
1579,jh_geo_3d_skew_lines_def,jh_geo_3d_plane_def
1580,jh_geo_3d_prism_def,jh_geo_3d_skew_lines_def
1581,jh_geo_3d_prism_def,jh_geo_3d_plane_relations_simple
1582,jh_geo_3d_prism_def,jh_geo_3d_line_plane_relations_simple
1583,jh_geo_3d_pyramid_def,jh_geo_3d_prism_def
1584,jh_geo_3d_pyramid_def,jh_geo_3d_skew_lines_def
1585,jh_geo_3d_pyramid_def,jh_geo_3d_plane_relations_simple
1586,jh_geo_3d_surface_area_prism,jh_geo_3d_pyramid_def
1587,jh_geo_3d_surface_area_prism,jh_geo_3d_prism_def
1588,jh_geo_3d_surface_area_prism,jh_geo_3d_skew_lines_def
1589,jh_geo_3d_surface_area_pyramid,jh_geo_3d_surface_area_prism
1590,jh_geo_3d_surface_area_pyramid,jh_geo_3d_pyramid_def
1591,jh_geo_3d_surface_area_pyramid,jh_geo_3d_prism_def
1592,jh_geo_3d_volume_prism,jh_geo_3d_surface_area_pyramid
1593,jh_geo_3d_volume_prism,jh_geo_3d_surface_area_prism
1594,jh_geo_3d_volume_prism,jh_geo_3d_pyramid_def
1595,jh_geo_3d_volume_pyramid,jh_geo_3d_volume_prism
1596,jh_geo_3d_volume_pyramid,jh_geo_3d_surface_area_pyramid
1597,jh_geo_3d_volume_pyramid,jh_geo_3d_surface_area_prism
