strategy,student_type,episode_id,step,effective_max_steps,phase,route,focus_skill,target_skill,active_skill,active_family,hit_subskill,progression_gate_active,foundation_mastery_mean,polynomial_mastery,mastery_before,mastery_after,integer_mastery,fraction_mastery,radical_mastery,zpd_gain_scale,weakest_subskill_mastery,prerequisite_transfer_bonus,rag_triggered,rag_bonus,rag_intervention_count,rag_tier,rag_decay_factor,rag_bonus_after_decay,is_correct,correct,was_remediation,was_unnecessary_remediation,is_return_to_mainline,fail_streak,sign_handling_mastery,combine_like_terms_mastery,sign_distribution_mastery,expand_monomial_mastery,expand_binomial_mastery,family_isomorphism_mastery
AB3_PPO_Dynamic,Careless,2,2,40,mainline,mainline,expand_binomial,polynomial,polynomial,poly_mul_poly,expand_binomial,False,,0.482545,0.48817,0.482545,0.736323,0.596829,0.224609,1.0,0.224609,0.0,0,0.0,0,,1.0,0.0,0,0,0,0,0,2,0.832996,0.510752,0.796603,0.442532,0.224609,0.596829
AB3_PPO_Dynamic,Careless,2,3,40,remediation,remediation,expand_binomial,polynomial,polynomial,poly_mul_poly,expand_binomial,False,,0.478608,0.482545,0.478608,0.736323,0.596829,0.214109,1.0,0.214109,0.0,0,0.0,0,,1.0,0.0,0,0,1,0,0,3,0.832996,0.510752,0.796603,0.442532,0.214109,0.596829
AB3_PPO_Dynamic,Careless,2,4,40,remediation,remediation,expand_binomial,polynomial,polynomial,poly_mul_poly,expand_binomial,False,,0.47467,0.478608,0.47467,0.736323,0.596829,0.203609,1.0,0.203609,0.0,0,0.0,0,,1.0,0.0,0,0,1,0,0,4,0.832996,0.510752,0.796603,0.442532,0.203609,0.596829
AB3_PPO_Dynamic,Careless,2,5,40,mainline,mainline,expand_binomial,polynomial,polynomial,poly_mul_poly,expand_binomial,False,,0.503358,0.47467,0.503358,0.736323,0.596829,0.280109,0.85,0.280109,0.0,0,0.0,0,,1.0,0.0,1,1,0,0,1,0,0.832996,0.510752,0.796603,0.442532,0.280109,0.596829
AB3_PPO_Dynamic,Careless,2,6,40,mainline,mainline,expand_binomial,polynomial,polynomial,poly_mul_poly,expand_binomial,False,,0.532045,0.503358,0.532045,0.736323,0.596829,0.356609,0.85,0.356609,0.0,0,0.0,0,,1.0,0.0,1,1,0,0,0,0,0.832996,0.510752,0.796603,0.442532,0.356609,0.596829
AB3_PPO_Dynamic,Careless,2,7,40,mainline,mainline,expand_binomial,polynomial,polynomial,poly_mul_poly,expand_binomial,False,,0.567026,0.532045,0.567026,0.736323,0.596829,0.464609,1.2,0.442532,0.0,0,0.0,0,,1.0,0.0,1,1,0,0,0,0,0.832996,0.510752,0.796603,0.442532,0.464609,0.596829
AB3_PPO_Dynamic,Careless,2,8,40,mainline,mainline,expand_monomial,polynomial,polynomial,poly_mul_monomial,expand_monomial,False,,0.584695,0.567026,0.584695,0.736323,0.596829,0.464609,1.2,0.464609,0.0,0,0.0,0,,1.0,0.0,1,1,0,0,0,0,0.832996,0.510752,0.796603,0.550532,0.464609,0.596829
AB3_PPO_Dynamic,Careless,2,9,40,mainline,mainline,expand_binomial,polynomial,polynomial,poly_mul_poly,expand_binomial,False,,0.609731,0.584695,0.609731,0.736323,0.596829,0.572609,1.2,0.510752,0.0,0,0.0,0,,1.0,0.0,1,1,0,0,0,0,0.832996,0.510752,0.796603,0.550532,0.572609,0.596829
AB3_PPO_Dynamic,Careless,2,10,40,mainline,mainline,combine_like_terms,polynomial,polynomial,poly_add_sub_flat,combine_like_terms,False,,0.646127,0.609731,0.646127,0.770367,0.596829,0.572609,1.2,0.550532,0.010964,0,0.0,0,,1.0,0.0,1,1,0,0,0,0,0.83464,0.620397,0.798247,0.550532,0.572609,0.596829
AB3_PPO_Dynamic,Careless,2,11,40,mainline,mainline,expand_monomial,polynomial,polynomial,poly_mul_monomial,expand_monomial,False,,0.629725,0.646127,0.629725,0.770367,0.596829,0.572609,1.0,0.535532,0.0,0,0.0,0,,1.0,0.0,0,0,0,0,0,1,0.83464,0.620397,0.798247,0.535532,0.572609,0.596829
AB3_PPO_Dynamic,Careless,2,12,40,mainline,mainline,expand_monomial,polynomial,polynomial,poly_mul_monomial,expand_monomial,False,,0.651145,0.629725,0.651145,0.770367,0.596829,0.572609,1.2,0.572609,0.0,0,0.0,0,,1.0,0.0,1,1,0,0,0,0,0.83464,0.620397,0.798247,0.643532,0.572609,0.596829
AB3_PPO_Dynamic,Careless,2,13,40,mainline,mainline,expand_binomial,polynomial,polynomial,poly_mul_poly,expand_binomial,False,,0.6707,0.651145,0.6707,0.770367,0.596829,0.680609,1.2,0.596829,0.0,0,0.0,0,,1.0,0.0,1,1,0,0,0,0,0.83464,0.620397,0.798247,0.643532,0.680609,0.596829
AB3_PPO_Dynamic,Careless,2,14,40,mainline,mainline,family_isomorphism,polynomial,polynomial,poly_mixed_simplify,family_isomorphism,False,,0.699588,0.6707,0.699588,0.778467,0.704829,0.680609,1.2,0.643532,0.0,0,0.0,0,,1.0,0.0,1,1,0,0,0,0,0.83464,0.647397,0.798247,0.643532,0.680609,0.704829
AB3_PPO_Dynamic,Careless,2,15,40,mainline,mainline,expand_monomial,polynomial,polynomial,poly_mul_monomial,expand_monomial,False,,0.69415,0.699588,0.69415,0.778467,0.704829,0.680609,1.0,0.628532,0.0,0,0.0,0,,1.0,0.0,0,0,0,0,0,1,0.83464,0.647397,0.798247,0.628532,0.680609,0.704829
AB3_PPO_Dynamic,Careless,2,16,40,mainline,mainline,expand_monomial,polynomial,polynomial,poly_mul_monomial,expand_monomial,False,,0.688713,0.69415,0.688713,0.778467,0.704829,0.680609,1.0,0.613532,0.0,0,0.0,0,,1.0,0.0,0,0,0,0,0,2,0.83464,0.647397,0.798247,0.613532,0.680609,0.704829
AB3_PPO_Dynamic,Careless,2,17,40,remediation,remediation,expand_monomial,polynomial,polynomial,poly_mul_monomial,expand_monomial,False,,0.684907,0.688713,0.684907,0.778467,0.704829,0.680609,1.0,0.603032,0.0,0,0.0,0,,1.0,0.0,0,0,1,0,0,3,0.83464,0.647397,0.798247,0.603032,0.680609,0.704829
AB3_PPO_Dynamic,Careless,2,18,40,remediation,remediation,expand_monomial,polynomial,polynomial,poly_mul_monomial,expand_monomial,False,,0.70912,0.684907,0.70912,0.778467,0.704829,0.680609,1.2,0.647397,0.0,0,0.0,0,,1.0,0.0,1,1,1,0,0,0,0.83464,0.647397,0.798247,0.719672,0.680609,0.704829
AB3_PPO_Dynamic,Careless,2,19,40,mainline,mainline,combine_like_terms,polynomial,polynomial,poly_add_sub_flat,combine_like_terms,False,,0.703307,0.70912,0.703307,0.773967,0.704829,0.680609,1.0,0.632397,0.0,0,0.0,0,,1.0,0.0,0,0,0,0,1,1,0.83464,0.632397,0.798247,0.719672,0.680609,0.704829
AB3_PPO_Dynamic,Careless,2,20,40,mainline,mainline,combine_like_terms,polynomial,polynomial,poly_add_sub_flat,combine_like_terms,False,,0.697495,0.703307,0.697495,0.769467,0.704829,0.680609,1.0,0.617397,0.0,0,0.0,0,,1.0,0.0,0,0,0,0,0,2,0.83464,0.617397,0.798247,0.719672,0.680609,0.704829
AB3_PPO_Dynamic,Careless,2,21,40,remediation,remediation,combine_like_terms,polynomial,polynomial,poly_add_sub_flat,combine_like_terms,False,,0.693426,0.697495,0.693426,0.766317,0.704829,0.680609,1.0,0.606897,0.0,0,0.0,0,,1.0,0.0,0,0,1,0,0,3,0.83464,0.606897,0.798247,0.719672,0.680609,0.704829
AB3_PPO_Dynamic,Careless,2,22,40,remediation,remediation,combine_like_terms,polynomial,polynomial,poly_add_sub_flat,combine_like_terms,False,,0.73653,0.693426,0.73653,0.802534,0.704829,0.680609,1.2,0.680609,0.008163,0,0.0,0,,1.0,0.0,1,1,1,0,0,0,0.835865,0.724761,0.799472,0.719672,0.680609,0.704829
