controller,prototype,success_rate,avg_total_steps,median_total_steps,avg_max_polynomial_fail_streak,avg_remediation_entries,avg_integer_gain,avg_polynomial_gain
AB1,A,1.0,7.45,7.0,2.78,0.0,0.0,0.40133293470554626
AB1,B,1.0,9.83,10.0,4.05,0.0,0.0,0.43307789686311987
AB1,C,1.0,9.17,9.0,3.33,0.0,0.0,0.4395711840219384
AB2,A,1.0,9.49,9.0,1.69,0.95,0.1700085906874613,0.407205884481412
AB2,B,1.0,13.77,13.0,1.98,1.8,0.22436429779138667,0.43444452091034846
AB2,C,0.99,11.5,11.5,1.8,1.35,0.22004859763650672,0.42086759342741153
AB3,A,1.0,8.91,9.0,1.69,0.83,0.12352621552254493,0.4138916399516041
AB3,B,1.0,15.33,15.5,1.95,1.25,0.3184448,0.452565571113822
AB3,C,1.0,11.73,11.0,1.85,1.1,0.24502519404750533,0.42971904862381216
